G_ddmn,G_vdmn,G_sal,G_rcen,G_lcen,A_ddmn,A_vdmn,A_sal,A_rcen,A_lcen,H_ddmn,H_vdmn,H_sal,H_rcen,H_lcen
0.742078185,0.73844707,0.844258904,-0.048974171,0.77142626,-0.605512023,-0.657753527,-0.676448047,0.201126158,-0.5228073,0.141565427,0.171326622,0.211016044,0.113214307,0.186898604
0.32888785,0.212484449,0.390591413,0.598093092,0.553903222,-0.146843746,-0.016313933,-0.444379508,-0.241768181,-0.142694086,0.021378128,0.152563155,-0.019186823,0.19402872,0.124133706
0.290676683,0.546716869,0.569502652,-0.124428637,0.016268831,-0.291882962,-0.463719428,-0.495899349,0.219371244,0.239071622,0.17747958,0.201354235,0.316520661,0.069993429,0.18173106
0.594537675,0.233793691,0.502399266,0.515704334,0.635123312,-0.307209134,0.072608054,-0.462158799,-0.070001498,-0.214830294,0.394687414,0.187203452,0.32100749,0.447004437,0.657375574
0.216590807,0.232364982,0.184176743,0.156379506,0.334130347,0.227657169,-0.154030174,-0.197444141,0.304336458,0.327720702,0.051561344,0.103409298,0.082742244,0.072455585,0.123742864
0.499913156,0.141214281,0.496816576,0.632159591,0.646110892,-0.443861336,-0.222440466,-0.319938958,-0.483094305,-0.340964168,NaN,NaN,NaN,NaN,NaN
0.272857457,0.218221262,0.436862379,0.201649159,0.399628878,-0.057644505,0.120461524,-0.646649539,0.213225752,0.049760967,NaN,NaN,NaN,NaN,NaN
0.50092715,0.154748723,0.378227562,0.601009309,0.533438683,-0.189602286,0.051420547,-0.495816499,-0.273106277,-0.228731126,NaN,NaN,NaN,NaN,NaN
0.349613667,0.268815815,0.42028591,0.231913537,0.600500107,0.28863886,0.353248179,-0.335478365,0.548558116,0.17014955,0.209662274,0.135828093,0.150450319,0.211567342,0.326259851
0.491701871,0.26633957,0.803924739,0.33879143,0.698203325,-0.101757511,-0.030046934,-0.531266987,0.166466132,-0.172013626,NaN,NaN,NaN,NaN,NaN
-0.069411524,0.167557493,0.188926145,-0.009004605,0.307631761,0.220753744,-0.124739915,-0.079890907,0.213864774,0.056724768,0.122704737,0.228026062,0.152273268,0.223285928,0.102113783
0.339819133,-0.096086755,0.633867979,0.299090624,0.490029782,0.121363163,0.32394588,-0.5489344,0.250741571,0.033498783,0.31682083,0.303620994,-0.032431535,0.38080743,0.356215894
0.164583579,0.263989359,0.316295683,0.269382596,0.530081153,0.072775513,0.111735307,-0.52352035,0.134770945,-0.07707727,0.15221183,0.170737535,0.058750805,0.125275582,0.121073492
0.383250803,0.099212296,0.42734471,0.062635876,0.579209507,-0.105911709,0.087635219,-0.529918373,0.314012527,-0.236301929,0.237160444,0.003309402,0.265148401,0.125850156,0.108708136
